date,US retail sales(Billion $),US_retail,"Index of industrial product
(Seasonally Adjusted)",US_product,KR_export,"Export KR to US
(million $)",KR_export_to_US,"KR_CCI
",Won/Dollar
12-Mar,401.859,6.179321059,105.1,2.4,-1.5,"5,935",27.8,3.009708738,3.314488921
12-Apr,400.077,5.063341001,106,3.7,-5,"5,307",4.2,3.203883495,5.474145977
12-May,399.37,4.986303963,106.2,3.7,-1,"4,727",-8.6,2.799227799,9.377751008
12-Jun,395.782,3.317914126,106.2,3.5,0.9,"4,977",0.2,2.495201536,7.282349084
12-Jul,397.347,3.76491787,106.5,3.3,-8.7,"4,692",0.9,2.676864245,7.237029309
12-Aug,401.904,4.711037929,106,2.2,-6,"4,222",-2.3,1.902949572,6.369814858
12-Sep,405.658,4.712417592,106,2.3,-2.4,"4,814",0.4,2.287893232,-5.653410297
12-Oct,405.877,3.991298978,106.3,1.9,1,"4,439",-3.6,1.901140684,-1.738660421
12-Nov,407.386,4.038858853,106.9,2.6,3.9,"5,114",-5.3,2.476190476,-5.266150549
12-Dec,409.343,4.492474677,107.2,2.4,-6,"4,555",-1,2.659069326,-7.0703125
13-Jan,412.125,4.251777687,107.1,1.6,10.9,"4,961",20.3,2.849002849,-3.062269106
13-Feb,416.603,4.139815319,107.7,1.9,-8.6,"5,003",-11,2.549575071,-3.195816386
13-Mar,413.848,2.98338472,108,2.8,0,"4,979",-16.1,2.262016965,-1.919597546
13-Apr,412.655,3.1438948,107.9,1.8,0.1,"5,347",0.8,2.445907808,-2.544135215
13-May,414.182,3.708841425,107.9,1.6,3.1,"5,744",21.5,2.535211268,-4.291100097
13-Jun,415.777,5.052023589,108.1,1.8,-1,"5,293",6.3,2.808988764,-0.296839532
13-Jul,418.222,5.253594465,107.5,0.9,2.6,"5,154",9.8,2.51396648,-0.632407571
13-Aug,417.503,3.88127513,108.3,2.2,7.6,"4,973",17.8,3.081232493,-2.172380365
13-Sep,417.565,2.935231155,108.9,2.7,-1.7,"4,734",-1.7,2.982292637,-3.310990148
13-Oct,419.693,3.403986922,108.8,2.4,7.2,"5,465",23.1,3.451492537,-2.7504011
13-Nov,421.033,3.349894204,109.1,2.1,0.2,"5,248",2.6,3.345724907,-2.276190036
13-Dec,423.005,3.337543332,109.4,2.1,6.9,"5,152",13.1,3.330249769,-1.424501425
14-Jan,418.8,1.619654231,108.9,1.7,-0.2,"4,856",-2.1,3.601108033,-1.698884246
14-Feb,424.117,1.803635596,110,2.1,1.4,"4,664",-6.8,3.591160221,-1.422107304
14-Mar,429.72,3.835224527,111,2.8,3.7,"5,814",16.8,4.055299539,-4.197786376
14-Apr,433.675,5.093843525,111.2,3.1,8.9,"6,376",19.2,3.764921947,-6.169980932
14-May,434.334,4.865493913,111.5,3.3,-1.5,"6,059",5.5,3.571428571,-9.697264761
14-Jun,435.094,4.646000139,111.9,3.5,2.4,"6,087",15,3.187613843,-11.40105079
14-Jul,435.688,4.176250891,112,4.2,5.2,"6,103",18.4,3.36058129,-8.509501981
14-Aug,439.554,5.281638695,111.9,3.3,-0.4,"5,318",6.9,3.442028986,-8.657267691
14-Sep,438.687,5.058374145,112.2,3,6.3,"5,665",19.7,3.438914027,-1.805238915
14-Oct,440.396,4.932891423,112.3,3.2,2.3,"6,799",24.4,3.065825068,0.692905963
14-Nov,442.106,5.005070861,113.1,3.7,-2.7,"6,305",20.1,2.877697842,4.672588113
14-Dec,439.323,3.857637617,112.9,3.2,3.1,"6,239",21.1,3.043867502,4.155216526
15-Jan,435.929,4.090019102,112.1,2.9,-1,"5,562",14.5,2.941176471,2.16264188
15-Feb,434.153,2.366328159,111.9,1.7,-3.4,"5,021",7.7,3.111111111,2.894613583
15-Mar,442.225,2.910034441,111.5,0.5,-4.6,"6,795",16.9,2.834366696,4.212652045
15-Apr,442.183,1.961837782,111.1,-0.1,-8,"6,205",-2.7,3.008849558,3.778971307
15-May,446.238,2.740747904,110.7,-0.7,-11,"5,624",-7.2,2.829354553,8.631083664
15-Jun,446.238,2.561285607,110.4,-1.3,-2.7,"6,504",6.9,2.736098853,10.24906108
15-Jul,449.403,3.147894824,110.9,-1,-5.2,"6,185",1.3,2.636203866,13.82983898
15-Aug,449.592,2.283678456,110.9,-0.9,-15.2,"5,059",-4.9,2.977232925,16.62310765
15-Sep,449.496,2.463943541,110.6,-1.4,-8.5,"5,464",-3.5,3.587051619,12.32409382
15-Oct,448.616,1.866501966,110.4,-1.7,-16,"6,011",-11.6,4.111986002,6.740941859
15-Nov,450.509,1.900675404,109.7,-3,-5,"5,520",-12.5,4.108391608,4.545249379
15-Dec,452.756,3.057659171,109.2,-3.3,-14.3,"5,882",-5.7,3.735881842,6.673338489
16-Jan,448.171,2.808255473,109.8,-2.1,-19.3,"5,041",-9.4,3.29004329,9.647037308
16-Feb,451.209,3.928568961,109.6,-2.1,-13.4,"5,223",4,2.931034483,12.59104151
16-Mar,451.274,2.046243428,108.8,-2.4,-8.2,"6,545",-3.7,2.928509905,3.064443443
16-Apr,454.231,2.72466377,109.2,-1.7,-11.1,"5,824",-6.1,2.920962199,6.238343902
16-May,455.753,2.132270224,109.1,-1.4,-6.1,"5,669",0.8,3.525365434,7.534741021
16-Jun,460.563,3.210170358,109.4,-0.9,-2.9,"6,053",-6.9,3.951890034,3.254146123
16-Jul,459.744,2.30105273,109.5,-1.3,-10.5,"5,291",-14.5,4.280821918,-4.256410256
16-Aug,460.198,2.359027741,109.5,-1.3,2.6,"4,819",-4.8,4.081632653,-5.725158562
16-Sep,463.045,3.014264866,109.3,-1.2,-6,"5,132",-6.1,3.209459459,-7.086813465
16-Oct,465.368,3.734151256,109.5,-0.8,-3.2,"5,402",-10.1,2.68907563,0.385931059
16-Nov,466.974,3.654754955,109.3,-0.4,2.3,"5,723",3.7,2.938706969,0.949831621
16-Dec,470.996,4.028660029,110.1,0.8,6.3,"5,741",-2.4,3.182579564,3.002132196
17-Jan,473.464,5.643604785,109.8,0,11.1,"4,944",-1.9,3.772003353,-3.085647569
17-Feb,472.513,4.721537026,110.1,0.5,20.2,"5,313",1.7,3.936348409,-8.571197542
17-Mar,472.991,4.81237563,110.3,1.4,13.1,"6,201",-5.3,4.351464435,-2.195015304
17-Apr,474.547,4.472614154,111.5,2.1,23.8,"6,036",3.6,4.424040067,-0.122882472
17-May,474.76,4.170460754,111.5,2.2,13.1,"5,521",-2.6,3.986710963,-6.058571788
17-Jun,474.488,3.023473444,111.7,2.1,13.4,"5,982",-1.2,3.553719008,-0.66851884
17-Jul,476.752,3.699450129,111.5,1.8,19.5,"5,661",7,3.201970443,-0.107123728
17-Aug,476.513,3.545213147,110.7,1.1,17.3,"5,953",23.5,3.022875817,1.166128454
17-Sep,485.419,4.831927782,111.1,1.6,35,"6,597",28.5,3.600654664,4.004358485
17-Oct,,,,,7.1,"4,733",-12.4,3.436988543,-2.105723023
17-Nov,,,,,9.6,,,,-6.919852878
