year,"총인구
#통계청","일반정부
총지출","일반정부
총수입","사회보장기금
총지출

","사회보장기금
총수입

","일반정부
총수지","사회보장기금
총수지","관리대상
수지(TB)","1인당
일반정부
총지출(RGGE)
(불변)","관리대상수지(RTB)
(불변)","국내총생산
(명목, 
원화표시)","국내총생산
(실질, 원화표시)","GDP 
디플레이터","1인당
실질
국민총소득(RGNI)

","gdp대비 국가채무비율(NDR)
#기획재정부"
단위,천명,십억원 ,십억원 ,십억원 ,십억원 ,십억원 ,십억원,십억원,만원,십억원,십억원 ,십억원,(2010=100),만원,%
2006,48438,290891.9,313436.3,44164.8,72702.4,22544.4,28537.6,-5993.2,676.2739805,-6748.947096,966054.6,1087874.82,88.802,2260,29.3
2007,48684,309583.5,353777.2,50141.2,82277.4,44193.7,32136.2,12057.5,699.3258549,13260.05433,1043257.8,1147307.08,90.931,2371,28.7
2008,49055,353493.9,379317.8,55753.4,84344.8,25823.9,28591.4,-2767.5,769.7233228,-2956.1307,1104492.2,1179773.55,93.619,2355,28
2009,49308,401766.7,386601.2,63503.7,89342.1,-15165.5,25838.4,-41003.9,840.5739677,-42300.40749,1151707.8,1188123.79,96.935,2401,31.2
2010,49554,392264.1,404581.2,69812.4,98906.2,12317.1,29093.8,-16776.7,791.5891754,-16776.7,1265308,1265308,100,2556,31
2011,49937,431075.5,444071.1,74584.5,107695.2,12995.6,33110.7,-20115.1,849.7698289,-19801.25018,1332681,1311887.58,101.585,2578,31.6
2012,50200,450811.9,464760.6,80524,119330.6,13948.7,38806.6,-24857.9,874.8908113,-24217.35106,1377456.7,1341961.81,102.645,2634,32.2
2013,50429,453991.4,473085.3,85505.5,126202.7,19093.9,40697.2,-21603.3,869.6386061,-20868.51943,1429445.4,1380826.5,103.521,2720,34.3
2014,50747,475250.1,494107.7,92834,135571.1,18857.6,42737.1,-23879.5,899.2613539,-22929.74976,1486079.3,1426974.04,104.142,2794,35.9
2015,51015,505139.4,525185.7,100419.4,142507.7,20046.3,42088.3,-22042,928.5590072,-20670.31772,1564123.9,1466787.86,106.636,2960,37.8
2016,51246,529717.4,568685.8,109086.4,152370.3,38968.4,43283.9,-4315.5,950.5500059,-3968.45832,1641786,1509757.69,108.745,3064,38.3
2017,51446,561426.1,610152.5,118465.6,161526.3,48726.4,43060.7,5665.7,981.3071311,5094.687433,1730398.5,1556001.82,111.208,3065,
